file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.47,0.49,1.0583293,-31.358877,43.000347,0.049702246,-0.052269906,31.041534,0.010260007,1.569286,3.4892976,9.817988,40.98376,670.1944,1477.3872,-18.887943,1754.3861,-30.954178,2767.6174,-36.288395
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.48,0.5,0.85153407,-27.597513,39.621853,0.048647597,-0.046193868,31.206385,0.0045155617,1.8146106,2.31367,7.982883,39.807194,480.44702,1610.1235,0.0,1407.1903,-24.471947,2588.686,-33.94316
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.49,0.51,0.70148325,-26.552933,36.58051,0.03702612,-0.04139462,31.807035,0.0035266357,1.710381,1.7095422,4.094867,38.381687,287.64536,1755.1158,6.753331,1062.8352,-15.943626,2301.703,-32.286453
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.5,0.52,0.606921,-23.215897,32.547855,0.033718202,-0.038884062,32.291763,0.004125521,1.4591652,0.3528653,3.4810302,38.11701,324.2611,1636.8561,0.0,1086.886,-14.624501,2348.5027,-31.867325
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.51,0.53,0.5601408,-21.98348,31.95292,0.028802847,-0.035184514,32.304367,0.023650043,1.7309904,-1.5765314,3.759908,38.115444,327.84775,1634.5835,9.262813,1103.8247,-12.228267,2384.4746,-30.335016
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.52,0.54,0.5320036,-20.405512,30.172728,0.032428417,-0.03357708,32.50745,0.03360561,1.5511645,-3.0923584,4.149877,39.484295,579.2607,1584.2108,3.7536619,1540.5854,-15.99358,2537.364,-29.4252
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.53,0.55,0.6828535,-20.858152,33.10965,0.044852752,-0.04125225,32.757977,0.039864704,2.4438746,-3.55282,4.7897215,38.21406,542.43207,1608.5957,2.04046,1541.7701,-14.5419655,2658.4653,-28.045853
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.54,0.56,0.8706994,-20.48452,33.00761,0.06616474,-0.043067675,32.77002,0.02704624,3.5860398,-2.5236592,6.8496013,35.27682,784.0027,1597.8741,0.0,1807.2549,-14.952254,2959.1465,-28.126825
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.55,0.57,0.9984724,-16.79328,31.053808,0.06952305,-0.038986534,32.631577,0.01931641,4.8078227,-1.5888733,10.314887,31.970795,725.64874,1517.3324,-1.9030415,1593.6764,-12.872685,3047.6357,-28.961304
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.56,0.58,0.94153196,-11.486431,25.014334,0.06279379,-0.019700037,32.54872,0.014241722,5.2705193,-1.0646025,12.1490755,33.69447,925.84784,1359.0167,-6.3384457,1864.285,-23.033106,3203.4587,-34.23741
